Date,Initials,Col3,State,Type of Service,Fee,Group
8/1/21,A.B.,8/10/07,MA,xxyy,68,1
8/2/21,A.B.,8/11/07,MA,xxyy,68,2
8/3/21,A.B.,8/12/07,MA,xxyy,68,3
8/4/21,A.B.,8/13/07,MA,xxyy,68,1
8/5/21,A.B.,8/14/07,MA,xxyy,68,2
8/6/21,A.B.,8/15/07,MA,xxyy,68,3
8/7/21,A.B.,8/16/07,MA,xxyy,68,1
8/8/21,A.B.,8/17/07,MA,xxyy,68,2
8/9/21,A.B.,8/18/07,MA,xxyy,68,3
8/10/21,A.B.,8/19/07,MA,xxyy,68,1
8/11/21,A.B.,8/20/07,MA,xxyy,68,2
8/12/21,A.B.,8/21/07,MA,xxyy,68,3
8/13/21,A.B.,8/22/07,MA,xxyy,68,1
8/14/21,A.B.,8/23/07,MA,xxyy,68,2
8/15/21,A.B.,8/24/07,CT,yyxx,68,3
8/16/21,A.B.,8/25/07,CT,yyxx,68,1
8/17/21,A.B.,8/26/07,CT,yyxx,68,2
8/18/21,A.B.,8/27/07,CT,yyxx,68,3
8/19/21,A.B.,8/28/07,CT,yyxx,68,1
8/20/21,A.B.,8/29/07,CT,yyxx,68,2
8/21/21,A.B.,8/30/07,CT,yyxx,68,3
8/22/21,A.B.,8/31/07,CT,yyxx,68,1
8/23/21,A.B.,9/1/07,CT,yyxx,68,2
8/24/21,A.B.,9/2/07,CT,yyxx,68,3
8/25/21,A.B.,9/3/07,CT,yyxx,68,1
8/26/21,A.B.,9/4/07,CT,yyxx,68,2
8/27/21,A.B.,9/5/07,CT,yyxx,68,3
8/28/21,A.B.,9/6/07,CT,yyxx,68,1
8/29/21,A.B.,9/7/07,CT,yyxx,68,2
8/30/21,A.B.,9/8/07,CT,yyxx,68,3
8/31/21,A.B.,9/9/07,CT,yyxx,68,1